s,intensity
3.43229,372.951
3.43409,376.7
3.43589,380.027
3.43769,383.15
3.43949,386.482
3.44129,390.567
3.44309,395.301
3.44489,400.61
3.44669,406.858
3.44849,411.933
3.45029,417.978
3.45209,424.918
3.45389,432.08
3.45569,439.616
3.45749,447.094
3.45929,455.207
3.46109,464.575
3.46289,473.601
3.46469,482.974
3.46649,491.814
3.46829,501.199
3.47009,511.671
3.47189,522.952
3.47369,533.258
3.4755,543.221
3.4773,554.04
3.4791,565.208
3.4809,577.17
3.4827,587.559
3.4845,598.939
3.4863,610.317
3.4881,621.425
3.4899,632.636
3.4917,644.209
3.4935,655.353
3.4953,666.751
3.4971,677.32
3.4989,687.296
3.5007,698.145
3.5025,708.415
3.5043,718.711
3.5061,728.81
3.5079,737.995
3.5097,747.459
3.5115,755.091
3.5133,764.053
3.5151,773.781
3.5169,781.414
3.5187,788.292
3.5205,795.952
3.5223,803.311
3.5241,809.234
3.52591,815.668
3.52771,821.805
3.52951,827.863
3.53131,834.055
3.53311,839.397
3.53491,844.553
3.53671,849.296
3.53851,854.046
3.54031,859.755
3.54211,864.528
3.54391,869.323
3.54571,873.537
3.54751,878.862
3.54931,885.096
3.55111,891.126
3.55291,896.822
3.55471,903.115
3.55651,910.882
3.55831,916.888
3.56011,925.828
3.56191,934.757
3.56371,944.688
3.56551,955.672
3.56731,968.171
3.56911,981.986
3.57091,996.039
3.57271,1011.17
3.57451,1028.33
3.57632,1046.2
3.57812,1066.88
3.57992,1089.02
3.58172,1113.39
